id,term,definition,category,difficulty,example,related_terms
1,AMHS,"반도체 FAB 내 자재(FOUP 등)를 자동으로 운반·보관·추적하는 통합 자동물류시스템.","스마트팩토리",1,"OHT·AMR·스토커·MCS가 하나로 연동되어 무인 반송을 수행","OHT;AMR;MCS;스토커"
2,OHT,"천장 레일을 주행하며 호이스트로 FOUP를 승강·운반하는 대표 반송차.","OHT기술",1,"공정 장비 간 FOUP를 천장 트랙으로 신속 이송","레일;호이스트;FOUP"
3,AMR,"센서와 SLAM으로 스스로 위치를 추정하고 동적 경로로 주행하는 자율이동로봇.","AMR기술",2,"고정 경로 없이 장애물을 회피하며 자재를 운반","SLAM;라이다;AGV"
4,AGV,"자기테이프·마커 등 사전 지정된 고정 경로를 따라 주행하는 무인운반차.","AMR기술",1,"정해진 라인을 따라 카트를 견인","고정경로;AMR"
5,FOUP,"300mm 웨이퍼 25매를 담아 오염으로부터 보호하는 표준 밀폐 캐리어.","OHT기술",1,"OHT가 FOUP를 들어 로드포트에 적재","웨이퍼;로드포트;EFEM"
6,EFEM,"FOUP과 장비 내부를 연결해 웨이퍼를 이송하는 전단부 설비.","OHT기술",2,"로드포트의 FOUP에서 웨이퍼를 꺼내 챔버로 전달","로드포트;FOUP;아토모스"
7,로드포트,"장비 전면에서 FOUP를 거치하고 도킹하는 표준 인터페이스 지점.","OHT기술",1,"OHT가 로드포트 위에 FOUP를 내려놓음","FOUP;SEMI E84;EFEM"
8,스토커,"FOUP를 임시 보관·버퍼링하는 자동 창고(AS/RS).","OHT기술",1,"공정 대기 중인 FOUP를 선반에 보관","SEMI E88;버퍼;AS/RS"
9,MCS,"반송 설비를 직접 제어하고 작업을 차량에 배정하는 자재제어시스템.","MES연계",2,"MES 지시를 받아 OHT에 반송 명령 전달","MES;디스패칭;MHS"
10,MES,"생산 계획·실행·추적을 담당하는 제조실행시스템.","MES연계",2,"공정 진행 상황에 따라 다음 반송을 지시","MCS;디스패칭;스케줄링"
11,디스패칭,"대기 중인 반송 작업을 어떤 차량에 언제 배정할지 결정하는 의사결정.","SW알고리즘",2,"가장 가까운 유휴 OHT에 긴급 작업 우선 배정","MCS;우선순위;스케줄링"
12,경로탐색,"출발지에서 목적지까지 최단·최적 경로를 계산하는 과정.","SW알고리즘",2,"A*로 혼잡을 피해 OHT 경로 산출","A*;다익스트라;그래프"
13,"A* 알고리즘","휴리스틱(h)과 실제비용(g)을 합한 f=g+h로 최단경로를 효율 탐색.","SW알고리즘",3,"트랙 노드 그래프에서 목적지까지 최단경로 계산","휴리스틱;다익스트라;경로탐색"
14,다익스트라,"가중 그래프에서 시작점 기준 최단경로를 구하는 알고리즘.","SW알고리즘",3,"휴리스틱 없이 모든 인접 노드 비용을 누적 비교","A*;그래프;경로탐색"
15,휴리스틱,"목표까지 남은 비용을 추정하는 함수(예: 유클리드 거리).","SW알고리즘",3,"A*에서 직선거리로 남은 거리를 추정","A*;유클리드거리"
16,인터베이,"베이와 베이 사이를 잇는 상위 반송 계층.","OHT기술",2,"공정 구역 간 FOUP 장거리 이송","인트라베이;트랙;OHT"
17,인트라베이,"하나의 베이 내부 장비 간을 잇는 반송 계층.","OHT기술",2,"같은 구역 내 장비 사이 단거리 이송","인터베이;트랙;OHT"
18,"SEMI E84","반송차와 장비 로드포트 간 비접촉 핸드오프 신호 인터페이스 표준.","MES연계",3,"OHT가 적재 전 E84 신호로 안전 확인","SEMI;로드포트;핸드오프"
19,"SEMI E87","FOUP 등 캐리어의 입출고·할당·추적을 규정하는 캐리어관리(CMS) 표준.","MES연계",3,"캐리어 ID로 위치를 일관 추적","SEMI;CMS;FOUP"
20,"SEMI E88","자동 스토커(AS/RS)의 동작·인터페이스를 규정하는 표준.","OHT기술",3,"스토커 입출고 명령 규격화","SEMI;스토커;AS/RS"
21,"SEMI E10","설비 상태 6분류와 가동률·신뢰성을 측정하는 RAM 표준.","기타",3,"설비 가동률(Availability) 산출 기준","RAM;가동률;신뢰성"
22,처리량,"단위 시간당 완료한 반송/생산 작업 수(Throughput).","스마트팩토리",1,"시간당 OHT 반송 건수로 효율 측정","사이클타임;가동률"
23,"사이클 타임","하나의 반송/공정이 시작부터 완료까지 걸리는 시간.","스마트팩토리",2,"FOUP 픽업~배송 완료까지 소요 시간","처리량;병목"
24,병목,"전체 흐름의 속도를 제한하는 가장 느린 구간/설비.","스마트팩토리",2,"교차 트랙 혼잡으로 반송 지연 발생","처리량;디스패칭"
25,가동률,"설비가 실제로 가동된 시간 비율(Availability).","기타",2,"OHT 가동률 99% 목표 관리","SEMI E10;신뢰성"
26,"디지털 트윈","물리 설비/공정을 가상으로 복제해 사전 분석·검증하는 기술.","스마트팩토리",2,"FAB 반송 흐름을 가상에서 시뮬레이션","시뮬레이션;CPS;스마트팩토리"
27,CPS,"물리 시스템과 사이버(SW) 시스템을 결합한 가상물리시스템.","스마트팩토리",3,"OHT 전동기기 데이터를 실시간 모니터링","디지털트윈;CBM;센서"
28,CBM,"설비 상태 데이터를 기반으로 정비 시점을 결정하는 상태기반정비.","기타",2,"진동·전류 데이터로 고장 전 예지보전","CPS;예지보전;센서"
29,SLAM,"이동 중 동시에 지도를 작성하고 자기 위치를 추정하는 기법.","AMR기술",3,"AMR이 라이다로 실내 지도 생성·주행","AMR;라이다;자율주행"
30,충돌회피,"반송차들이 서로/장애물과 부딪치지 않도록 경로·속도를 조정하는 제어.","SW알고리즘",2,"교차로에서 우선순위로 통행 순서 조정","디스패칭;AMR;안전"
