id,question,options_a,options_b,options_c,options_d,answer,explanation,category,difficulty
1,"AMHS의 풀네임으로 옳은 것은?","Automated Material Handling System","Advanced Machine Hosting Service","Automatic Motor Handling System","Assembly Material Help System","a","AMHS는 자동자재취급(반송)시스템을 의미한다.","스마트팩토리",1
2,"천장 레일을 주행하며 FOUP를 운반하는 반송차는?","AGV","OHT","Conveyor","Stocker","b","OHT(Overhead Hoist Transport)는 천장 레일 기반 반송차다.","OHT기술",1
3,"OHT가 FOUP를 들어올리는 데 사용하는 장치는?","집게(Gripper)와 호이스트","컨베이어 벨트","로봇 팔만","에어 슈터","a","OHT는 호이스트로 FOUP를 승강한다.","OHT기술",1
4,"고정 경로를 따라 주행하는 무인운반차는?","AMR","드론","AGV","OHT","c","AGV는 자기테이프 등 고정 경로를 따른다.","AMR기술",1
5,"센서와 SLAM으로 동적 경로를 생성하는 로봇은?","AGV","AMR","Stocker","EFEM","b","AMR은 SLAM 기반 자율주행으로 동적 경로를 사용한다.","AMR기술",2
6,"FOUP에 담기는 표준 웨이퍼 수량은?","12매","50매","25매","100매","c","300mm FOUP은 웨이퍼 25매를 담는다.","OHT기술",1
7,"FOUP과 장비 내부를 연결해 웨이퍼를 이송하는 전단부 설비는?","EFEM","Stocker","OHT","MCS","a","EFEM이 FOUP과 챔버 사이 웨이퍼를 이송한다.","OHT기술",2
8,"FOUP를 임시 보관·버퍼링하는 자동 창고는?","로드포트","스토커","컨베이어","EFEM","b","스토커(AS/RS)는 FOUP를 보관·버퍼링한다.","OHT기술",1
9,"반송 설비를 직접 제어하고 작업을 배정하는 시스템은?","MES","ERP","MCS","SCM","c","MCS(Material Control System)가 반송차에 작업을 디스패칭한다.","MES연계",2
10,"생산 계획·실행·추적을 담당하는 상위 시스템은?","MES","MCS","OHT","PLC","a","MES가 생산을 관리하고 MCS에 지시한다.","MES연계",2
11,"대기 작업을 어떤 차량에 배정할지 결정하는 것은?","경로탐색","디스패칭","계측","적재","b","디스패칭은 작업-차량 배정 의사결정이다.","SW알고리즘",2
12,"A* 알고리즘의 평가 함수로 옳은 것은?","f = g - h","f = g + h","f = h / g","f = g * h","b","A*는 f(n)=g(n)+h(n)으로 최단경로를 탐색한다.","SW알고리즘",3
13,"A*에서 h(n)이 의미하는 것은?","시작점까지 실제 비용","목표까지 추정 비용(휴리스틱)","총 노드 수","간선 가중치 합","b","h(n)은 목표까지 남은 비용 추정치(휴리스틱)다.","SW알고리즘",3
14,"휴리스틱 없이 모든 인접 비용을 누적 비교하는 알고리즘은?","A*","다익스트라","BFS만","탐욕법","b","다익스트라는 휴리스틱 없이 최단경로를 구한다.","SW알고리즘",3
15,"반송차와 장비 로드포트 간 핸드오프 신호를 규정한 SEMI 표준은?","E84","E10","E40","E90","a","SEMI E84는 비접촉 핸드오프 인터페이스 표준이다.","MES연계",3
16,"FOUP 등 캐리어의 입출고·추적을 규정한 표준은?","E84","E87","E88","E10","b","SEMI E87(CMS)은 캐리어 관리 표준이다.","MES연계",3
17,"자동 스토커의 동작·인터페이스를 규정한 표준은?","E87","E88","E84","E30","b","SEMI E88은 스토커(AS/RS) 표준이다.","OHT기술",3
18,"설비 상태 분류와 가동률을 측정하는 RAM 표준은?","E10","E84","E87","E5","a","SEMI E10은 신뢰성·가용성·유지보수성 지표 표준이다.","기타",3
19,"베이와 베이 사이를 잇는 반송 계층은?","인트라베이","인터베이","로드포트","챔버","b","인터베이는 베이 간 반송 계층이다.","OHT기술",2
20,"하나의 베이 내부 장비 간을 잇는 반송 계층은?","인터베이","인트라베이","스토커","컨베이어","b","인트라베이는 베이 내부 반송 계층이다.","OHT기술",2
21,"단위 시간당 완료한 반송/생산 작업 수를 뜻하는 지표는?","사이클타임","처리량(Throughput)","가동률","택타임","b","처리량은 단위 시간당 완료 작업 수다.","스마트팩토리",1
22,"전체 흐름 속도를 제한하는 가장 느린 구간을 뜻하는 말은?","병목","버퍼","마진","리드타임","a","병목(Bottleneck)이 전체 처리량을 제한한다.","스마트팩토리",2
23,"물리 설비를 가상으로 복제해 사전 검증하는 기술은?","디지털 트윈","블록체인","엣지컴퓨팅","RPA","a","디지털 트윈은 가상 복제로 사전 분석한다.","스마트팩토리",2
24,"OHT 전동기기 상태를 실시간 모니터링하는 가상물리시스템은?","ERP","CPS","CRM","SCM","b","CPS(Cyber-Physical System)가 물리-사이버를 결합한다.","스마트팩토리",3
25,"상태 데이터 기반으로 정비 시점을 결정하는 정비 방식은?","사후정비","예방정비(주기)","상태기반정비(CBM)","무정비","c","CBM은 상태 데이터로 예지보전한다.","기타",2
26,"AMR이 이동하며 지도 작성과 위치추정을 동시에 하는 기법은?","GPS","SLAM","OCR","SLAM 불필요","b","SLAM은 동시적 위치추정·지도작성 기법이다.","AMR기술",3
27,"AGV와 비교한 AMR의 가장 큰 장점은?","저렴한 센서","고정 경로 고수","동적 경로·유연성","무동력 주행","c","AMR은 동적 경로로 유연하게 주행한다.","AMR기술",2
28,"SK하이닉스 IT(AMHS) 직무의 4대 업무가 아닌 것은?","구축","제어","SW개발","웨이퍼 식각","d","JD상 4대 업무는 구축·제어·SW개발·운영이다.","기타",1
29,"AMHS 제어가 연계하는 상위 생산 시스템은?","MES","HRM","POS","CAD","a","AMHS 제어는 MES와 연계해 반송을 제어한다.","MES연계",2
30,"신규 FAB 기획·설계 시 사전 검증에 활용되는 기법은?","수기 계산","Simulation","무작위 배치","경험적 추측","b","JD상 Simulation 기반으로 신규 FAB을 기획·설계·구축한다.","SW알고리즘",2
